Comment,Likes
"I acidentally stumbled upon your review. Being a tech fan, I watched it from beginning to the end very carefully. I must compliment and praise your way of presenting this gadget. It's fun and interesting to watch, and your diction is very good so I didn't need to turn on subtitles, which I usually do when I'm not wearing my hearing aid device. Regarding product, no way I am paying this price. Once V2 comes out with less weight, better battery life and better battery solution overall, as well as with more acceptable price, I might consider it. In the meantime, I've subbed to your channel and looking forward for more reviews done by you. Thanks bro!",5
Marques channeling his inner Tim Cook at 18:34 is unintentionally hilarious,610
"23:33 ""when you try it,you'll see what i mean"" No Marques I won't,I'M BROKEE!😂",431
Well Done!  It was a pleasure watching.  Thanks!,0
thank you for this review.,1
I really enjoy your way of speaking. So clean,0
"*Going to Mars becomes a possibility*

- Marques: Alright guys I've been on Mars for about a week now...",366
I can appreciate that Apple came back to using the PS Vita interface layout over a decade after its release.,864
Crazy and well done Marques,1
Thanks for the great easy to follow videos..! Worth a sub! Just wondering when it will be coming to the uk? 🎉,0
"15:02 
""If you can say the URL out loud""
Got me 😂😂",425
17:55 Hey Marques im glad you liked the Alfa Romeo F1 car I made for Jigspace! I'm a big fan of your work too :D,924
Dude... the best review I've seen of this yet... sweet i have not liked Apple products before very much but this one... seems pretty dang fun... the price though... dayum... might have to wait a bit but... you definitely seem to have sold it to me!,0
"Jig space on Apple Vision Pro is sooooo cool, wish I was having my own headset right now seeing all this 🔥🔥🔥😎😎😎",0
You deserve your view count. There was no time wasting filler and stupid humour in this. Just well presented information. Thank you. It's a breath of fresh air.,740
"Bro, you just held me hostage for 30+ minutes at 4am 😂 I didn’t think I’d watch 3 minutes. Well done as always, mate.",651
The conferencing capability is really cool. And makes total sence. For companys big telepresence system like a Cisco TX9000 or Poly RealPresence are around half a million dollars excluding installation (and use for the room). So this is super interesting. And of course the usual AR/VR training and presentation use cases.,0
🔥🔥🔥 appreciate this video,0
"NGL, memes aside, this is what I felt like VR in future would always look like. The dismantling of the car and constellation just blew me away. Literally felt like I was watching a SCI-FI movie",351
21:53 The irony of having a Windows wallpaper on your MacBook made me LOL,356
anyway you explain and discuss very well. WELL DONE Better than any talk show host or tv presenter well done,0
You make brilliant content. Subscribed+,0
"Credit to you for making a video on a product i have no interest in buying, and make me watch most of it.
Good job.",351
"as a former valve index user and a meta quest 3 fan, I find this headset incredibly well made considering this is apple's first ar/vr headset, imagine this 3 gens later",277
I so appreciate a product review that doesn't feel like an ill-concealed ad.,0
This video was the inspiration for me making a video about the Apple Vision Pro ngl,0
This is the only guy who can review new gear without sounding like he’s trying to sell it to you.  I have respect for Marques because he never seems to have an ego or arrogance despite having so much influence and viewers.,579
33:11 holy shit the Jedi council holograms becomes more and more a possibility every year,153
"🎯 Key Takeaways for quick navigation:

00:00 🛠️ *Using Apple Vision Pro: Overview of Hardware Features*
- Overview of the Apple Vision Pro VR headset hardware features,
- Description of the materials used, including metal and glass components,
- Explanation of the various sensors, buttons, and speakers integrated into the headset.
03:26 🔄 *Managing Weight and Battery of Apple Vision Pro*
- Discussion of the weight distribution and battery design of the Apple Vision Pro,
- Comparison of battery life and weight with other VR headsets,
- Explanation of the need for a connected cable and its implications.
06:48 👁️‍🗨️ *Initial Calibration and User Interaction*
- Description of the calibration process for the Apple Vision Pro,
- Explanation of the primary input methods, including eye tracking and hand gestures,
- Discussion of the user experience in interacting with the headset's interface.
08:45 📱 *Navigation and Interaction in Vision OS*
- Overview of navigating and interacting with the Vision OS interface,
- Description of spatial positioning lock and its implications,
- Discussion of features such as app selection, scrolling, and window manipulation.
10:42 🌐 *Passthrough and Immersive Environment*
- Explanation of passthrough technology and its implementation in the Apple Vision Pro,
- Description of the immersive environments available in the headset,
- Comparison of passthrough quality with other VR headsets.
13:38 ⚙️ *Control Center and Text Input Methods*
- Description of accessing Control Center and its functionalities,
- Explanation of text input methods, including virtual keyboard and voice input,
- Discussion of the usability and effectiveness of different input methods.
15:33 📱🔮 *App Ecosystem and Killer Apps*
- Overview of the app ecosystem for the Apple Vision Pro,
- Differentiation between apps built specifically for the Vision Pro and those adapted from iPhone and iPad,
- Description of standout apps and their functionalities on the Vision Pro platform.
17:57 📱 *Apple Vision Pro apps overview*
- Overview of various apps available for Apple Vision Pro.
- Apps discussed include Sky Guide, Jig Space, Keynote, and compatible iPad apps.
- Mention of notable exceptions like Netflix, YouTube, and Spotify apps.
21:18 💻 *Integration with Apple ecosystem*
- Seamless integration of Vision Pro with Apple ecosystem.
- Features like iMessages, Photos, Notes, and Keynote accessible on Vision Pro.
- Highlight of connecting Vision Pro to Mac for use as a virtual display.
24:09 👀 *Understanding Personas feature*
- Explanation of Personas feature on Apple Vision Pro.
- Description of how the outward-facing eyes function.
- Walkthrough of the process of creating a Persona and its appearance.
32:06 📞 *FaceTime experience on Vision Pro*
- Detailed account of FaceTime experience using Apple Vision Pro.
- Description of FaceTime windows in immersive space.
- Discussion on spatial audio and hand gesture tracking during FaceTime calls.",51
This is insane!! Bro I can hook up to the computer and play games while having I music and discord open,0
I like how he pulls up the S24 Ultra at the end on a full Apple review,204
15:00 “If it’s a URL that you can actually say out loud” 😩😩🤣🤣,392
Well done review!,0
Awesome intro. Thanks!,0
"15:02 ""If it's a url that you can say out loud"" 😂",170
18:35 that impression is spot on 😆,346
Really great review.  12/10. 🥂,0
amazing AR+VR implementation,0
"2:33 “Bob, why are your scuba goggles moaning?”",328
"“When you try it, you’ll see what I mean” Sir im not sure I’ll be trying it any time soon 😂😂",198
Nice one ❤🔥,1
Fantastic review,0
"4:35 I think the small number of mAh is because the Vision Pro's battery runs at 12v whereas ""usual"" battery bank for your phone runs at 3.5v. That's why compared to Vision Pro battery, the Anker one at 4:45 has 4x the mAh but only 20% larger Wh.",437
21:53 The Windows wallpaper on the MacBook 😂😂😂,462
"As a housebound disabled person,  it's worth it because you are able to be excited and passionate about the world around you,  even if you can't walk anymore",1
Very cool video so far! I'll come back to it and comment some more later.,0
Those Tim Cook hands on the stage got me 😆,237
"The thing I like about Apple is they've been such forward thinkers, so I think ""spatial computing"" is a really good name for this technology. Just the features with the facetime calls or zoom meetings makes you wonder how good it'll be once the vision 2 or 3 comes out. By that time there will probably be more app capability",0
5:21 I watched a video that showed 2 ways to turn it off. 1) go to settings then general and select Turn Off at the very bottom or 2) press and hold both the digital crown and the camera button until you see the turn off slider in front of you.,0
"18:34 love how Marques does the Tim Cook ""good morning"" hands on Steve Jobs Theater stage XD",640
"Little detail I've just noticed: THANK YOU SO MUCH for not having any sorts of background music, so that I can hear the video much more clearly (I often play this kind of video while cycling with bone conduction headphones).",431
"This is so cool, like it's absolutely not for me for so many reasons, but as someone that grew up with cassette players and CRT TVs, this is kind of mindblowing how far we've come lol.",0
Fantastic breakdown,0
Now the awkward plane encounter will be you staring at the person next to you  pinching your fingers with this big headset on 😂,675
"This technology is undoubtedly insane, but for me the most impressive thing is how you have just presented and demonstrated this product. An absolute masterclass in every way. Huge congratulations to you and all the team. This was brilliantly done.",267
"15:03 ""If it's a URL you can say out loud"" 😂😂😂😂😂😂",0
this is amazing,0
"man this is why I have subscribed to you. never going to buy this but you made me feel that I bought it and felt like went through all the things in that SPATIAL COMPUTER. much love man, really appreciate the effort. God Bless.",275
"""if it's a URL that you can actually say out loud.""
😂😂
15:01",282
What a time to be alive . The future is gonna be interesting for VR AR,0
i like the look of the AVP,0
Naahhh the app to rehearse your presentations can actually be mad useful to beat stage fright. Simply amazing.,268
This has the biggest Black Mirror vibes any product on the consumer market ever had.,807
Great overview.,0
"this ""VR"" just awesome 😂",1
I am not in Apple's ecosystem. But I cannot deny this device is pretty darn impressive. That Mac Virtual Display feature is bananas. I want to see this device succeed and actually push the industry forward and have similar features from 3rd parties.,216
"I know I’ll never buy this but being a motorsport fan, at 17:48 that just brought the inner child out of me 😂",488
I recon this would be epic for Pokémon Go. Imagine walking down the street and seeing a Gym or Poké stop in 3D you can interact with and Pokémon running out in front of you.,1
35:33 nice ad marques you think you slick with these subliminal ad placements 😂😂,1
"4:44 I'm surprised nobody on your team caught this - but the battery IS actually the equivalent of a 10,000 mAh battery bank - you can see it right there on the screen. The difference is most power banks are  around 3.7V (so a 10,000mAh capacity = 37Wh) and this one is likely around 12V (so a 3,166mAh capacity = 36Wh). It's right there on the screen!",102
Best tech review ever,0
Man you are the best,0
"Please buddy, never leave  YouTube. You are the best.",549
"i can already imagine Marques sitting on a plane, editing his videos, casually checking some window in his VR on his left/right, but in reality, just awkwardly staring at the people sitting next to him lol",132
I’m just exited for the future models,0
I love the Apple Vision Pro,0
I can't wait to put a headset on to check my calendar,47
Marques - Your “Persona” looks really good. It’s almost “Polar Express” character quality! 😆,359
"does the glass screen always shake along with the head or is it fixed at where it was? 
i felt kinda fainted when watching ur video when your head was moving.",0
"This is good,I like it.",1
“if it’s a url you can actually say out loud…” LMAOOOO,443
18:35 Loved that Tim Cook hand gesture in the Steve Jobs theatre haha,221
That 3D model thing at 18:00 feels like it came straight out of Iron Man and I'm here for it.,0
"I smiled when I heard ""It's a high end"", and thought to myself ""Wait two or three years and revisit this video"" X )",0
"15:02 "" if it's an url you can say out loud "" 
I hate my mind 😂",227
"Zero interest in the product after watching this video, but you can never go wrong with Marques talking about a product, it's just really nice to listen to!",478
"Thank you for the detailed review. It is clear TO ME, that the VR technology is not even at 10% of where it needs to be for me to want to wanna spend 4-5k on it.. I am waiting for that Ready Player 1, VR headset. I wont be settling for less.",0
"The hand calibration reminded me of the Community VR episode. “Calibrate the system by looking at your hands, then turning them over and looking at the back of your hands with a sense of wonder.” 😂",0
"Bro promoting Windows at 21:53 , FedEx at 35:33 and Samsung at 36:39 all in a single Apple Video. MKBHD the Marketer",372
"That external view of people's eyes seemed weird to begin with, but the actual execution is hilarious.",139
Presale participation locked in. Xeventy's bonuses are a sweet deal for early adopters!,0
"Thanks for sharing!! I'm curious if you or anyone knows how this product works for people with eyes that have different focal lengths. All the other VR headsets give me immediate nausea, even with diopter adjustments.",0
"18:35 Naahh, he did the classic Tim Cook with the hands together hahah",261
"""The full review is in the works"" 
Wow very nice to hear that after a 40min video with a lot of insight and opinions :)",244
Great thumbnail! The couple looks amazing together. Perfect girl with a perfect man! love you♥️🔥,1
That look at 29:05 had me howling with laughter haha,0
"15:08 . And what exactly do you mean by that, Sirr ???? 🧐🧐",58
"“If it’s a url that you can actually say it out loud”

LMAO got me on this one",503
This video deserves a lot of likes ❤️❤️❤️❤️❤️❤️❤️❤️,0
21:52 lmao that wallpaper,0
18:35 had me 🤣🤣. The best impression of Tim.,221
"the screen recorded footage really shocked me, its by far the best POV footage I've ever seen on my 2D screen. it looks unreal",122
Can you use the eye tracking/finger pinchy thing instead of the trackpad on your Mac?,0
"I think I see where this is going. The vision pro will become an accessory to smaller, portable mac computers; they're liking keeping the battery separate to train their customers to get used to carrying something around. A separate computer piece would allow versatility in how it's used; both VR/AR and desktop modes, as well as allow the actual headset to shrink and become more comfortable.",0
"34:10 “If I turn up the environment and bring them into the moon…”
Ahh yes i love all the infamous moon sounds. Hearing my blood boiling in the non-existent atmophere of our lovely moon is such a nice ambiance for a facetime call. 😊😂",572
I trust no reviewer more than MKBHD. His attention to detail is unparalleled.,229
im down but gonna wait for Vision Pro 2,0
"Marques, I have MND/ALS. Can you control the on-screen Accessibility keyboard using only the eyes? Failing that, the same for the regular on-screen keyboard. Thanks in advance. UK.",0
"Marques is litteraly one of the youtuber who can make you watch a tech video passionately when you ve never been interested in it. Pure talent , straightforward , smooth .",359
"I have a cool Apple drinking game -- take a shot every time the word ""proprietary"" is mentioned...",334
So good!,0
Thanks!,0
"More impressive than the device is your ability to describe it with perfect content, level of detail and cadence.  Talent !",299
"15:04 “if it’s an url you can actually say out loud” you freak, you 😂",430
ReadyPlayerOne right on schedule,0
"As a remote worker, this functionality (especially FaceTime) could be a total gamechanger that makes Apple much more relevant in a corporate environment. Imagine augmenting FaceTime with a presentation mode or virtual conference room. Could reduce the need for international travel. Even one less trip a year pays for this product.",0
In 2008 the best app we had was a torch that lit up on the phone and in the cameras flash. We are back with the ux leap that VR is just the equivalent to an iPhone without 3G,537
"Seen many videos on it, but I always love how you break things down.",341
Its Amazing!,0
"You said it calibrates to your eyes? Will it be able to do that through the lenses of my glasses? Is there enough room to accommodate a pair of glasses without touching the inside of the Vision Pro lens? Or would I need to switch to contact lenses? When I wear contacts, they are bifocal contacts. Will these work? I'm far sighted with astigmatism.",0
31:40 Thanks for the profile pic Marques,31
What is also really impressive is that the integrated screen recording has a solid image stabilization. On most other headsets you can see it quite shaking and it makes the viewers uncomfortable,92
"Great review - my interest level is just slightly increased … some promising steps for the future - but currently I’m thinking ‘oh my neck’, lol",0
Xeventy's strategic partnerships reflect a forward-thinking approach. Looking forward to the positive ripple effects!,0
One of the best tech reviews ive ever seen. i wasn't bored a bit and half and hour passed like it was 10 to 12 minute. great video as always,0
"15:02 ""If it`s a URL that, you know, you can actually say out loud"".  😂😂😂😂",259
"15:00 ""If it's a URL you can say out loud"" lol my man already knows what people are gonna use this device for 😂",761
The engineering in this headset is incredible but I think it will take some years to get mainstream,528
"""If its a URL you can actually say out loud."" 15:03 cracked me up 🤣",566
5:22 you can also turn it off by holding the 2 buttons for 5s above the screen,0
"It makes me want to buy it, but from owning a Vive, I know the lack of selection in apps is really going to hurt. So I'm going to wait for the maybe Third or fourth iteration if it gets there",0
"In 30 years, I'll be looking at this video and feel the same way I'm feeling today looking at that video from Good Morning America describing ""surfing the web"" back in 1994.",288
15:01 “if it’s a URL that you can actually say out loud.” 😂😂😂 I see what you did there,183
well covered:),0
I was going to ask how comfortable is this headset with folks who wear glasses?... But you answered it @30:00.  BUMMER!,0
"This by far one of the best Vision Pro walk-through's I've seen so far, good job to Marques and the team!",268
"2:33 “Bob, why are your scuba goggles moaning?”",150
"Ive never understood a topic like today 
Bro is a born lecturer",0
19:43 Talking about Maps: Would be cool to being able to jump into Google Street View with Vision Pro. Google Street View would be a mot more emersive 😍,0
23:20 imagine the conversations with the vision pro tho.. bro why are you looking me dead in the eyes every 20 seconds?,93
13:51 Day 2 you’re now standing in the driveway looking at your garage door tapping your fingers while the headset is in the house recharging. 😂,174
"This looks really cool! However, I just finished de-Appling myself because I was annoyed that they keep taking power tools away from their OSes and removing advanced features, and they didn't let me fully fix my last phone. We need something like this for the Android+Linux ecosystem!",0
Time to goon with this,0
"the only thing i want from a VR headset is for it to take me into a really great MMORPG where I can explore worlds, fly, fight monsters, collect items, etc. that would be so sick",297
26:26 andrew appearing out of the void of the mood has got to be the funniest shit I've ever seen,74
5:21 im pretty sure there’s some option to turn them off in settings. Cutting off power in the middle of running the device can’t be the only option,0
will buy the 8th version for sure.,0
"Though I have very little interest in owning this device, I deeply appreciate the very high quality review and captivating presentation. Pure pleasure to watch. Thank you!",125
"I am finally at a point in my life where I can look at new technology and say ""Nah... I don't need this...""",203
Excellent.,0
"Its like your just a pasted animation of what it recorded on setup, and the mic has it own coded work to move what it grabbed on setup for your person.",0
Imagine getting into a Youtube Shorts binge with these. Pretty dystopian if you ask me.,659
"23:02 Imagine looking at your neighbour in the plane while having a final cut window in front of him. 😂
I think that's gonna be even weirder 💀",551
"Looks great for coding on multiple screens without having real big screen work setups. That to me as a developer is the biggest advantage.  Also this is just the first iteration of the vision pro. It will only get better over time.  Trouble is I spent $4k on my Mac book pro this year (that should last me a good 15 years for coding, video editing, training some basic ML models etc).  Need to wait till my funds pile up before getting the vision pro.",0
"I love that wooden coffee table shown in 9:42, could anybody tell me the model and link to seller? thanks",0
If you have to be looking directly at the thing that you wanna click on… what happens if you have a lazy eye… do you click two things at once?😂,167
"I normally don't watch review videos this long, but given the crazy price tag of that product I did it anyway, and your review is very thorough and informative. You're a great, enjoyable presenter!",352
He said “as long as it’s a URL u can say outloud!” 😂 Siri open the HUB,0
"as a proof of concept, this is the first step of an awesome AWESOME technolgy.",0
"Watching this from Quest 2. As always, the best quality reviews!",254
Your reviews are actually next level. You made me feel like i was using it. Complete awe factor,175
"Looks incredible, like a next stage of cyberpunk we've been living in for a while, but I can't imagine the case for this device being really more useful and convenient then ordinary interfaces.",0
"man, i too love the ""Ready Player One"" series too! glad none of this is real :D",0
18:32 When he started moving his hands at the auditorium like he was giving a speech 😭,105
“If it’s a URL you can say out loud” 😂😂😂😂,59
"I bought the Samsung S24 Ultra, so obviously, i will never be able to buy anything ever again, but I love your tech reviews.",0
"""If it's an URL you can actually say out loud."" lmao",1
😂😂using the galaxy s24 at the end was cold bruh🥶,112
I wonder how the person next to you on the plane will react when you looking at the virtual screen that's floating on his face and he's thinking you are staring at him through the headset glass 🤣,177
I wonder..what do you do if you wear glasses? is it just blurry or does it adjust to your vision (which might be a stretch)? I feel like so many people wear glasses these days but no one talks about it..,1
Incredible,0
"""If it's a url that you can say out loud"" naaaa man 😭😭😂😂😂😂",139
"I can't believe they launched it without even a SINGLE videogame made for it. 

Just imagine the possibilities with that precise environment locking. Building a giant dragon Lego set in your living room, for it to become alive and be your AI pet. Then it spits 3 fireballs like a cat with hairballs and you juggle these fireballs then one falls on the carpet and your house catches fire in the augmented reality, flames begin to surround you and then the environment changes and you are in Dante's Hell, wow. 

Btw, can't wait for the existential second part! Amazing review, best quality on youtube.",172
"bro called it ""brain cycles"". he's fully integrated.",2
How could you record the FPV parts of this video? Special tool needed or on board?,0
"Wow! The Jig Space app really impressed me. I can definitely see it being useful for interior designing and helping clients visualize room designs and interact with layouts (also stage design,  etc...). None of the other reviews I watched so far even mentioned these apps....this is what I really appreciate about Marques' reviews.",117
I'm impressed that with 18.4M subscribers u mention you still edit your videos.  That's passion.  Also great video as always.,329
As someone that travels quite a bit with a laptop and 3 portable monitors. If they could get 2-3 virtual displays then I would buy this just for that.,0
"As computers get smaller and more powerful these innovations will get cooler and even kinda scary. Not an Apple user but this device looks hella awesome and innovated. This could be the future, but for now walking with this would look absolutely ridiculous! 🤣👍(I could totally see myself chilling with the full immersion setting with music playing in the background lol... that sounds dystopian holy crap)",0
",,You can plug another battery to this battery to plug it into head set battery."" 👌🤣",217
"Dont own a single apple product but the facetime demo made me giggly like a child around christmas, amazing tech!",103
"Wild, it really looks like the future. If I could play PCVR games with it, I'd want it.",0
"Bro, you’re easy to listen to. 
Great delivery.",0
I could really see jig space as being extremely useful for an engineer or a mechanic. Having a 3d model right next to them of how to build something is life changing.,245
“If it’s a url ..you know..u can really say out loud” 😂😂 I felt that,159
Imma get the vision pro in 5 years when they've properly updated it. it sounds really cool tbh,0
"4:48 the battery is 13v so the low mAh makes sense, the energy is still abt the same as a 10 000 mah power bank (also the voltage is interesting, it might actually be lithium iron phosphate cells in there)",0
