Comment,Likes
"As a tech geek, this is super cool... 

As a human that feel like my phone makes me disconnected from reality... this makes me feel like we are going to get even more disconnected from reality/the present and more connected to the digital world. 

If thats good or bad is up to each and everyone to decide for themselves.",665
"That outside perspective of Casey waving a donut around in the air just going ""The butterflies are eating my donut"" was hilarious 😂",212
Best review/experience out,0
"I agree that this is the future of computing, but also agree that the tech needs to get smaller, lighter, and cheaper, almost like regular sunglasses, just like you said! The day this happens, 🎉",2
“Apple Vision Pro kids” about to replace “iPad kids”??,9041
I’m a simple man. I see a video by this guy and I’m back in 2016 at 20 years old dreaming of an electric longboard… dude the nostalgia you evoked with this…. Thank you. I missed you. Crap I’m crying now.,404
dude @ 2:19 trying to be _sneaky recording Casey_ LMFAOOOOOOOO 🤣🤣🤣🤣🤣🤣🤣🤣,1
"Thanks ,i have one and want to travel right now",0
I already think we're on our phones ignoring the people around us too much. This is just dystopian AF 😂,435
"Haha loved the synchronicity of the guy saying ""enjoy your adventure"" and right after you open Netflix to ""Adventure"". The guy was a wizard 😂",303
It was dope seeing yu at the Sony Creative awhile back…,0
"The most interesting point for me that it is already so good that you get really into it in a so short time…
When I get it right you get the vision, set it up and directly after that you done this video, so just one day and you got already the true feeling of AR…
That’s just amazing cuz that is just exactly what AR should be, the integration from the digital into the real world, that is just the barebone idea of AR and Apple seems to nailed it…
Just impressive…",1
"This is the most original review of the Apple Vision Pro. Everyone is reviewing them in controlled environment, this review was original and provided a totally different perspective on this new emerging technology outside of an office or living room. Nice one!",182
This is hysterical. I laughed so hard at you just standing on the steps poking at thin air 🤣🤣,820
"What a human being u are, the ultimate best",0
"“I get off here, enjoy your adventure!” 😢 im not crying you are😢",269
broooooo the typing at 3:50 killed me 😂,371
"I thought your intro was gonna be you whiting them out like your sunglasses
Would be Iconic",0
"You have to use travel mode if your are moving, otherwise it won't correct for that motion. other than that you could hold on to the window while youre moving",0
"I didn't laugh this much in a long time 🤣 The texting on the steps, the butterfly....",316
"The idea of everyone having some type of device like the Vision Pro in the future is disconcerting. That moment when you’re in Time Square is what stood out to me. There are tons of people around and you’re in an isolated world within the headset. People already interact less with the people around them because of cellphones, and I can only see this getting worse if we’re able to set up an entire office wherever we are. The future looks lonely if this is where we’re headed.",245
I think I'll wait for them to advance the tech but I'm glad it's a success because it means more companies will make more improved versions,0
Y'all did an amazing job at filming the video as if Casey was still filming himself. The style still very much looks like a vlog.,0
"These things make us engage in ultimate dopamine, we're going to become so dependant on these type of things to feel satisfied, and whenever we're not using it, we're going to crave it, that's why it's important to think it through. Acknowledge your surrounding and be aware of what you're doing, meditation is key to not get consumed by the machines.",519
This is the best critique of this experience without actually critiquing it directly with words.,262
"After waiting a week to try it, my husband finally did yesterday (our kid has one). After spending just a few minutes on it, watching the beginning of a movie, he retired to his office to watch something on his t.v. and said, 'well, I'll never be happy just watching anything on a t.v. now.' The first thing I wanted to try (other than the immersive environments which are AMAZING) was to watch a movie on a huge screen. I didn't realize there were theater environments (Disney's is great) and the experience was beyond my wildest imagination. You are seriously IN a theater; there are even 'cupholders' next to you, and floorlights in the 'aisles.' I watched Coco in 3D and, having seen it before on a television, it was a completely different experience and my reaction to it was different. I was more emotionally invested in the story. No distractions. I literally cried (and wondered if I was damaging the vision pro lol). 

But I also opened a book on the device and started reading. I have ADHD and it is rarely easy to focus on a book, but with the pages in front of you and an environment surrounding it to block out distractions, it is much easier to focus on the words and to stay engaged. I can see this helping people with attention issues -- and so much more. Like Casey said, this is the future of computing and interacting with media. It is a truly unique and incredible experience.",42
"A decent review- do they feel like first gen gear? Clunky, slow software?",0
"""enjoy your adventure"" what a nice guy. we need more like him.",72
"5:38 ""it's impossible for me to imagine that you can't see what I can see"" -  that quote right there highlights the awesomeness of this thing. it feels like the 90s all over again where we see this cool new thing and then imagine all the potential.",593
"Wow, of all the review videos I've seen no one has played video. I wanted to find out how video looks like in this. Giid work.",0
"hey, i know this may be a long shot but i am attending stn this year, where i know you will be speaking and was wondering if i’d be able to convince you to help do the morning anchoring for my school at the convention, we could record right before/after your speech! lmk!",0
Master Toyota Technician. A while back they said AR would help a technician work on a vehicle. This would be such a game changer in an industrial setting. When I'm working on an electronic diag I can have my wiring diagram while I work. It would be even crazier if it can illuminate with IR or have a thermo camera to show heat resistance in a wire. This is a game changer. Can't wait for the future.!,187
9:36 he perfectly described future computing in one sentence and a gesture,282
"Sure - I believe you. This may be the future. 

Careful what you wish for.",0
this was so good,0
"I love how Casey showcases the absurdity of this thing, while still being amazed by it.",162
This is by far the best non-review review of this thing. Casey is such an incredible storyteller,366
"what about safety concerns not being able to see corner of your eye or  anything that can impair your vision, did you feel safe?",0
"I've seen a few videos involving these goggles. The main thing I notice that concerns me is the lack of situational awareness the users have. People stopping in cross walks, people stopping on stairs, etcetera.",104
In control center there’s a travel mode which makes it so you can use it in moving vehicles,80
The reaction of people is the best part!,0
casey always has another view on stuff.. thats why i love watching his videos.. thx man for being on youtube !!!,3
"""I get off here ... Enjoy your adventure"" The line was priceless...!! Great non review Mr Neistat, I always love your content..!!",195
"Also, you stopped on the stairwell typing, was gold. I laughed out loud.",409
"Really cool technology with great potential - I saw MS HoloLens years ago - amazing.
BUT, no peripheral vision - really bad idea around the streets - ok at home etc...
It's already bad enough with peeps with headphones - there's so many that have been hit or had near misses with cars/bikes/other pedestrians (I've had several walk almost out in front of me).",0
A great review.,0
It was so funny to watch people stare in pure confusion as he tries to feed his donut to the virtual dinosaur 😂,1952
I love how the family just stares at him @ 6:30. XD,392
"I wish I can experience that thing, or get owned to experience 😁 I love futuristic technology such like that..",0
I love this. AVP vs NYC. Round 1 *ding* *ding*,0
You can always count on Casey to review the Vision Pro in the most _New York_ way possible!  😄,220
Master story teller at work. I was grinning ear to ear throughout the whole video. It is so refreshing to see someone bring a human emotional perspective to a tech review. Thank you Casey. I am grateful I live in the same world as you.,212
The only video anyone needs to watch about the Apple Vision Pro 👏,0
So good!,0
@3:52 Casey typing a text response while stopped on the steps was friggin hilarious.,703
"2:43 It is kinda funny that after the nice guy says ""I get off here... Enjoy your adventure"", Adventure pops up on apple tv hehe",123
This litedally reminded me of the VR guy from the Anime : Lain - Serial Experiments 😂,0
I love watching videos of things I can’t afford 🙌🙌,0
"I love how he compliments his mom, then dismisses her with a slight of hand 🤣🤣  9:35",103
"Many people have said it already, but this is such a big sacrifice to our social nature man. Phones and computers have made society lonely and distant already, can't imagine what something like this would end up doing if it caught on (I still think this will be a huge flop carried solely by channels like this and Marques' but we'll see).
Imagine walking down the street and not needing to ask anybody for any sort of information (still the case with phones but now you don't need to tell your device where you are or take it out etc), constantly being connected to your favorite people so you stop finding value in meeting or talking to new people and no one will even know who or if somebody is looking at them. Your sense of hearing and seeing are connected to an active virtual environment at all times, which we automatically find way more interesting to operate in than real life. Phones don't give us this yet we still pull them out and into our pockets several times for small trips.

I mean just look at this alone, you see a guy walking around, making hand gestures, with everybody around him wondering if he can even see them.",783
"Excellent! I agree with you - Buy Apple Stock instead of the goggles; don’t touch it for 10 years - I’m guessing 100x profit. $400,000 stock growth. But it could be insanely higher - I see home integration being the biggest improvement.  Everyone puts the ipad on the wall now - using it for security systems etc.",2
The three d aspect to the dinosaur coming out of the screen at you was actually part of the coolest saying about it.  .   .   Or maybe just sitting anywhere and pulling up things like you're on your own desktop at home with multiple screens.,0
"Casey answered the questions of the average Joe. 

Unlike any other reviewers, your content is so accessible and easily understood.",428
"This makes me a little sad. I see how cool these are but I also see technology like this making us WAYYY more disconnected with each other. Awesome video, just some thoughts abt the future of technology.",196
"Imagine the power of the advertisements in the future in this! When you're immersed in this experience and your brain starts to take it as the real world, I think that's when you're vulnerable and where advertising is going to aim. That looks mind-blowing to me!!",4
"The amount of use cases for something like this are endless. There are literally so many different ways in which j could imagine something like this being used. I really am looking forward to the feature of augmented reality. I remember years ago when Microsoft took a swing at it with the Hololense, and I've been fascinated by this type of tech since.",0
2:44 is the most genuine i’ve ever smiled at any youtube video,101
That Krispy Kreme scene was too funny. Thanks for making my day.,177
"Simula VR is an interesting looking VR Linux computer that works like that with high resolution display, passthrough, and intel i7 mobile",0
be in THE MOMENT. You do not need ten moments.,2
"I love this take. Rather than fuss over certain details, you have gotten deeper into the heads of the creators and why this is a groundbreaking corner in tech history. This was hilarious but profound!",117
We’re finally catching up to Back to the Future 2,1047
Is it safe while driving a car??  I'll try it on my comute.,1
Absolutely these will evolve to something like a pair of glasses with some kind of wireless power supply.,0
"""Enjoy your adventure"" what a gentleman!!",86
"watching it in action outside of an office room just makes it feel so futuristic, i love it.",46
That Man trying to Grab the Donut thinking you are giving it to him instead of the Dinosaur 😆,1
"One thing people will never say about it. ""You look great wearing it"".",2
the edit on the doughnut shop with Casey's POV of the butterfly versus the reality with the people around looking at him super lost is amazing hahahahahah,90
"Love Marques, but this is the BEST FREAKIN Apple Vision Pro video anywhere. I love NYC. Thanks Casey! This made my day",97
Exactly the video I was looking for. Thanks! Instead of big YouTubers just talking Your video shows the actual usage and the experience. Well done,0
Love from India ❤,0
I'll never get tired of his videos,759
"@caseyneistat what you are referring to, as the future of computing, is a future iteration of Neuralink",0
"This is the actual review, instead of just reading the manual. This has got so much perspective. I can call this piece an ART. Especially the antenna's when he is speaking about the future makes so much sense to me. Great work!!!",17
"As a Gamer like me:
this is first step for the advance future, this really fits well to exercise our body. it saves many people lives!!! absolutely agree for this , hopefully it will happen in few years!!!!!",0
"i think this is better if the hardware is in your pocket, maybe your phone could operate the same IOS.
it needs a wire so why not have the heavy hardware in your pocket.
it could also be wireless i think.",0
"This is like one of the best videos I have seen on Apple Pro yet.  I mean he is actually using it in a day to day setting.  Makes me want one, but at the same time wait till the 2nd gen.  As other have said the future looks exciting.  

However to show a video of Apple Pro in NY! On the Subway! And…..having a huge screen on the tracks with a YouTube video lol hilarious, awesome!👏",111
6:37  When your food is laced with hallucinogenic drugs.,16
"I watched an anime about 15 years ago that was this exact product, but in glasses format with intractable animals running on AI. I knew eventually we'd get there and it looks like it's starting to come together. Just need to somehow shrink everything.",0
"the first video that changed the thought of the vision pro for me is that one guy working at home who gets up to go to the kitchen and theres other windows open for how to cook something by the stove and a grocery list by the fridge, then he returns to his couch with all his work windows.",0
2:52 The window moving away when the train started moving cracked me up 😂,87
Been watching for 10+ years now and it never ceases to amaze me at how charismatic and entertaining you make everything. I love it.,67
Natural selection at work,0
Holding the donut up for the butterfly 😂,0
Seems like we’re witnessing the end of being present and mindful of our everyday moments.   People can barely survive in public without numbly scrolling on the phone.  This takes that dysfunction to a whole new level.,196
Its fun to use for a couple days max. I returned mine because it’s not worth the price and it’s entirely in everyday life.,0
This guy makes New York look like a nice place,1
"""The butteryfly is eating my donut"" idk why but i choked i laughed so hard at this😂😂",183
"Funny you mentioned Marques' review, which was a masterclass, but you captured the remaining insights that he hadn't. Impressive work.",92
"Read the books Ready Player one and Ready player Two. Not only are they entretaining but you can also get a glimpse of what could be the real future of technology. Remember that in 2001 Space Odisey you could see an iPad, in concept. Or with the Dick Tracy movies, that watch he had. The issue would be the effects on regular society, as has social media.",0
"finally, i said this to some dudes from school but they didnt understand. you get it",0
"This might be an unpopular opinion... I like taking in the surroundings and atmosphere. 

I enjoy the daily movement and grind. 

These active VR remind me of
'Wall-e'",93
Not sure if anyone in the comments has mentioned this but there is a travel mode that can be turned on so that apps stay in place.  I’d love to see how it works in a similar environment like a train or car.  Great video btw!,113
"I think that soon apple will sell advertising spaces, creating virtual times-square-like screens and signs that everybody with a Vision Pro could see in the same exact position. Each city could build a virtual ecosystem, integrating the reality. Multiple brands like meta could offer their alternative world, meaning that multiple digital version of the same urban spaces could coexist, or maybe all the companies could convey in one single multiverse. 
This is going to be bigger than what we can even imagine",0
Thank you cassey,0
Casey you have to turn on travel mode! it's in control center you CAN use windows when there is movement,45
"Pretty sure “travel mode” would solve your subway issues of windows floating away. 
Loved your video, love your passion, one of the best I’ve seen on the AVP so far!",141
"Do you still use an iPhone 5 (10:06), i just noticed",0
I'll wait for the Vision Max or Vision Ultra or Ultra Max Thank You.,0
The vision pro seems like such a cool but also potentially dangerous piece of tech. It's interesting to see how it could impact our daily lives and interactions. Definitely a thought-provoking video!,892
6:45 the butterfly's eating my donut 😂😂 dude I'm cry laughing this is somm funny,61
"It would be interesting to test this subway topic by standing paralell to the subway acceleration direction, instead of being perpendicular. I would assume it will affect differently the accelerometer readings, but anyway, I know nothing about this so, no clue if it works differently or not :D",0
you're a genius.,0
"Wow. somehow after watching you use it in public, I dont have a great feeling about it... it seems as we are isolating ourselves through this stuff more and more. But from technical perspective its amazing!",179
Remember how in games (like FusionFall) characters would just stop on streets and start typing and doing their own thing when they’d have menus open? The climbing up the stairs of the subway shot reminded me of exactly that.,106
"The age old issue of ""Sound vs Metro"". I wonder how the Vision Pro's speakers hold up against that onslaught?",0
"life is going to be so funny while walking around in a few years when theres a ton of people with these on. Especially when future versions come out at a more affordable price, its going to be a whole new world.",0
"Been watching you for years man love your style! Definitely the type of review these needed, also I didn't see if anyone else mentioned but the music fits the video so well. Bravo.",18
I'm terrified. someone please take me back to the early 2000's with my land line home phone and family computer in the living room.,52
May not see this comment 😂but you really inspired a lot of creators . I’ve been watching you since I was 14 I’m 22 now I started youtube because of you . If no one gave Casey his flowers yet well I will best creators of all time .,0
"Love your jacket, looks apart. 😉",0
"New York is a great place… I’m happy Casey is back and show casing it in a way people outside of the city rarely see. People are nice, and kind, and curious, and smile, and laugh, and it’s just magic forreal",70
I know it was a while ago but I am still so happy you are back in NYC!,262
have you tried xreal glasses?,0
This is gonna make the New York experience even better,0
"Great video Casey, glad to see you're doing well. I enjoyed watching this review. But when you sat down in the office I suddenly thought you saying ""Happiness equals reality minus expectations"". I just want you to know that I think about that saying everyday and it helps me bring myself back up to reality when I'm feeling down on myself. Thanks for that. Have a great year my friend.",28
"its a bit of fun for a video but imagine everyone running around with these things, it's bad enough no one talks to each other now being phone zombies",749
"Unrelated topic: Incredible NYC still seems to have metros from the 1970s!  I like retro, but not for the daily commute. 

We used to have similar metros in Amsterdam for traveling from CS to the Bijlmer.  But they have long been replaced by modern nicer equipment. Why isn’t the US or in this case NYC investing in new trains?",0
What if you wear glasses? How does work with that?,1
that opening shot alone . instant classic lol. only thing they’re missing is the signature spray paint !,106
"so cool to see this shown in the wild.  i’m no tech visionary but i’m struggling to see the use cases right now beyond entertainment + business for most people. it’s incredibly challenging to be present in public already with our phones, headphones, heads up displays and big screens in cars.  i just can’t imagine integrating this into life outside of controlled environments and am really curious (concerned?) about what impact that will have on both the user and those around you in terms of human connection. there’s already so many ways to “check out” at home and in private - mixing this tech in public just feels…wrong?!",38
does it have an airplane mode?  Where are the antennas located?,0
"We always ask if we can do it, but we never stop to think if we should.",0
"This is a great video Casey! I appreciate you testing the real world function of this device. I found it interesting that your reaction at the end was much different than thoughts while watching. My thoughts were that maybe we're headed down a path that will leave us more isolated and separate from one another. Is it ""boomerish"" of me to have an inclination to abstain from this type of tech?",744
I think this is a very unique insight into how public interaction in a real world would irk with devices like the Vision Pro. Most reviewers are designing at home and reviewing the device while this offers a glimpse into what it would mean to actually put the device through its paces. Very unique. Good work!,33
"Went for a demo session, amazing
glad I own the stock",1
Fixing posture but screwing eyesight even more 😂 cool tech tho. Reminds me of cyberpunk netrunner,0
"I come from southern Italy, and I visited New York for the first time last week. I must say that this video is fantastic and it brought back the same sensations I had while exploring the city. If I had met you, I believe my reaction would have been similar to the guy who encountered you in Times Square. Amazing video as always",39
feels so dystopian,18
the only review that matters :D,0
you look cool dude fr,0
"One of the best videos you have ever made. So fun and interesting, a wild experience to watch + a great story.

I loved the mkbhd videos and watched them all but your 10 minutes showed the true value of it in a way even apple cant do.",20
"gotta say, I have never commented on any of your videos, but this is hands-on the best review for the vision pro",58
do you need cellular data to use it anywhere?,0
Very robust tech demo. Best irl usage I've seen of the gadget.,0
"As someone who has been studying electrical engineering for the last 4 years, this video is fucking awesome. I can’t imagine what the future holds",37
"2:43 ""I get off here... Enjoy your adventure!"" was so genuine and sweet.",2727
I will get one of these or something similar for sure in the future. It has pretty much everything you need for home and travel needs of entertainment and work,1
"The verge review had a great explanation why reviewers are underwhelmed, they review what's IN the box, not the promise of what's to come. Casey described it as peeking into the future of computing, what they're selling right now is a just that. The true benefit of releasing this tech to the public early is that it gets developers thinking about designing for the future, and they get real world feedback from the early adopters. It is cool to see Apple entering this space, can't wait to try it myself!",10
"I was waiting for you to say ""There I was sitting in the middle of thousands of people in times square and I was simultaneously connected and disconnected from the world.""  I can't wait to see people use these while walking, biking, driving....",162
"Fun fact, if you turn on pointer control inside of the Apple Vision Pro, we can see where you’re looking and it makes it so that it’s harder for the viewer to notice the low quality rendering in the places where you’re not looking.",0
"The price is INSANE . It is a good office device combo. And for entertainment. But use it on a street or even metro - that is dangerous. Someone can steal it from you, the user can get into accident, etc. We as humans cant even properly/safely use mobile phone while we walk on a pavement without stumbling into something because our attention is divided. With this it is several times more dangerous. For home use awesome. But the price khmm. P.S.-I can bet someone will use it while driving with a car...and will get into trouble.",1
Such a kind man at the 2:28 mark. Most people are good. Spread love ❤️,63
I kid you not when I did the butterfly thing I felt it land on my hand. They said apparently about 30% of people have the same experience. Wild.,458
Used the go pro for most of the footage. It did ok.,0
finnally a new glasses!,0
"I miss casey’s tech vlogs so much, so glad they’re back!",95
You the man Casey,617
I wanna have one to but dont know what to do with it 😂,0
6:47 if you were to say that without those on people would think your on some strong stuff 😂😂😂,1
"Also, you stopped on the stairwell typing, was gold. I laughed out loud.",44
"7:25 - “I thought that would be funny.” It really was 😂 most Casey video ever, super entertaining use of the new tech!",68
the motion tracker thing works with acceleration. If your acceleration is zero for all effects you're still. So you can use it in an airplane for as long as the airplane is not accelerating,0
I wonder if it works in a car or something besides a train - that would be so cool for road trips as a passenger,0
You can tell that you are an incredible filmmaker. I mean that is like such a left field way to do a review. So good.,28
this is by far the greatest and possibly most important video about the Vision Pro that i’ve seen so far. thank you for creating it,95
"Looking at 6:39, I guess my Grandma has Vision pro inbuilt because she sometimes see stuff that we can't.",0
This is so cool 😂,0
"Funny you mentioned Marques' review, which was a masterclass, but you captured the remaining insights that he hadn't. Impressive work.",24
"Love your interactions with the precious humans of NYC. I have no desire to replace the authentic experience of walking thru cities and nature, but you still made the vid a cool thing to watch! Cheers! JB",34
How's your peripheral vision with them on?,0
6:38 Revolutionary.,0
"this is the definition of thinking out of the box, setting yourself apart. what a fun, inspiring review. Apple you owe this man a check.",88
"9:30 What you're describing right there, is a real dystopia. Imagine growing up in a world, where every morning you wake up and put on AR glasses and live out your day, then take them off before you sleep at night. Living your entire existence through a screen. Imagine, living in a town or city, but having never actually seen it. Having friends, but having never actually seen them. As seeing them through a screen, is not really seeing them. Sounds like absolute hell.",6
"Us looking at this technology is probably how people felt back then when cellphones/computers became a thing.
This is so cool and scary all at once",0
Magical and terrifying.,2
"What I'm really impressed with is your overall like-ability. Thanks for existing so loudly, bro.",52
"Casey is literally the PERFECT guy to comment on this tech. 

I think this video is so much more insightful into what this device MEANS for society than any other tech review video I've seen, and I've been working in this space for a decade. Casey ACTUALLY gets it. He's understands technology like Steve Jobs did, in the intuitive way, not just by numbers. What a breath of fresh air. 

This video is one of the best tech review videos I've seen in a while. While I love MKBHD's production value on his videos, Casey puts us into the perspective of, basically, the real world. How does tech actually influence or augment our lives, how does it fit into culture. I haven't watched Casey in years, but this was so refreshing and divine to watch.",119
There is is literally a button you press in the control center and it switches to travel mode so stuff doesnt move when you move,0
No one can tops a casey neistat video. True OG of the youtube,0
"Thank you!  This is the review I was looking for.  This review reveals purpose, reason, and the future potential of Apple and technology in general.",8
I love how you just didn't care what others thought as you filmed. I wish I could do that. I mean I guess I could just do as I pleased but I loved this video,87
that iphone 5s on your right ♥,0
The music in this video is top tier,0
This looks utterly dystopian,428
The flow of this video the explanation of your experience in this video was seriously top tier. All the questions I had and thought about are answered.,69
It is the first for headset not just for gaming.,0
"Heavy rain AR glasses, can't wait",0
The kids looking at him at that doughnut bar and smiling - such a great cut as I would have imagined this myself how I would look like seeing Casey. I will try to get some borrowed... but wait some iterations down the line to buy some... thanks for the video,61
"This is the review of the Vision Pro everybody actually needed...as always Casey, you rock!",36
It is a game changer. We live in a transformative era. In 10 years no mobile phone will be needed🙌,0
The guy on the street was so excited 😂 it was very refreshing seeing someone not being cynical or have a superiority complex,0
"You look like Back To The Future Kid 😂, i love you Casey!❤",217
"So why I love Casey, because he has his own approach of how to make videos. That's why Casey has always been and still is the best youtuber, he has pushed YouTube to this level. When I met Casey in real life, he pleasantly surprised me with what an energetic and interesting person he is🚀 

The idea behind his video seems simple, but his pitch is very unusual🔥🔥🔥",73
Mind blown 😳,0
"For those of you about to venture into AR/VR, get ready for the very weird feeling of taking your headset off after being in VR for a few hours to a dark room. Case speaks truth to how your mind adapts to being in VR and it feels really weird to take off after a long session",0
I watched nearly every Vision Pro video by now... This has been the most valuable one! Thanks Casey 👍,24
You took us there! I can see the future for sure. And your excitement was palpable. Really enjoyed this.,8
I find it so funny when you say to people ur to much on your phone 😂😂 they always come up with bs,0
Question when you wear this all day people need glasses  much faster in the future?,0
"So great to see you again!  Great video and take on the new device. I understand that feeling completely. I haven’t felt this way about a device since the announcement of the first iPod. So many similarities. At the time, millions of mp3 existed, took batteries (kids used to steal the batteries from the calculators in class) and no player cost more than $100. Then the iPod dropped. Same happened when the iPhone dropped. CNET’s review was hilarious. Claimed it was dead on arrival, no physical buttons, no stylus, no upgrade able memory, and too expensive. Now there’s a whole industry completely saturated and nearing the end of its innovation. This is the first headset I have seen that gives a glimpse into the possibilities. Just having control over the image projecting to others has huge implications and possibilities. I’m so pumped, seriously. You nailed that feeling of excitement in your video. Beautiful work as always. Loved it!",15
Only 1:20 into the video but Casey’s refreshing style and down to earth mentality already makes me smile and happy 😂❤🎉 Keep it up. Always great to see how positive and friendly react to Casey 🙏 tolerance is what the world needs right now.,9
Did he return the vision pro device?,0
"interesting dailies content, keep up on this kind of videos lol 🤣",0
Hey great video! Best review of the Vision Pro I’ve seen. I was thinking it wasn’t for me but I can see the appeal now.,10
"Casey, I love the video and I’m glad you came to a similar realization that I’ve had regarding computing in the future! I HIGHLY recommend the book “Warcross” by Marie Lu as it has a little bit for everyone while going deeper into the future that I believe you’re talking about, if your not really into video games, it might be a bit of a stretch to read, but it’s honestly my favorite book that I’ve ever read. 
Have a good one!",7
"I think once batteries and all the other tech here get WAY smaller and this is just a pair of glasses, they'll be sweet. I think Apple should have shot for just entirely AR, less immersive glasses first, but they kinda dove in the deep end which I guess is fine.",0
I had the same with Quest3,0
I love this review and the take at the end. Most of all I look forward to seeing how they shrink it down to the practical glasses size and how we solve all the problems required to accomplish it!,5
Most relatable review I’ve seen on this “$4000 ski goggles” yet and that is no easy feat with all the 1000’s of reviews out there. Way to stand out from the crowd Casey👍🏾,65
Use travel mode to keep screens stationary,0
Do they come with data or does it just piggy back off of phone data?,0
